family,dropped_feature
atenciones,atenciones_ma7
atenciones,atenciones_min3
atenciones,atenciones_max10
atenciones,atenciones_max3
atenciones,atenciones_min10
atenciones,atenciones_ma10
atenciones,atenciones_ma14
atenciones,atenciones_lag3
atenciones,atenciones_max7
atenciones,atenciones_min7
atenciones,atenciones_lag2
atenciones,atenciones_lag1
atenciones,atenciones_ma28
atenciones,atenciones_ma21
atenciones,atenciones_min21
atenciones,atenciones_min14
atenciones,atenciones_max28
atenciones,atenciones_std21
atenciones,atenciones_max21
atenciones,atenciones_std10
contaminacion_total,contaminacion_total_ma14
contaminacion_total,contaminacion_total_ma7
contaminacion_total,contaminacion_total_ma3
humedad_mean,humedad_mean_ma7
humedad_mean,humedad_mean_ma3
humedad_mean,humedad_mean_lag7
humedad_mean,humedad_mean_lag5
no2_mean,no2_mean_lag2
pm10_mean,pm10_mean_ma14
pm10_mean,pm10_mean_lag2
pm10_mean,pm10_mean_std7
pm2_5_mean,pm2_5_mean_ma14
pm2_5_mean,pm2_5_mean_std7
pm2_5_mean,pm2_5_mean_ma3
precipitacion_sum,precipitacion_sum_std14
precipitacion_sum,precipitacion_sum_std7
temperatura_mean,temperatura_mean_lag5
temperatura_mean,temperatura_mean
temperatura_mean,temperatura_mean_ma3
temperatura_mean,temperatura_mean_lag2
temperatura_mean,temperatura_mean_lag3
temperatura_mean,temperatura_mean_ma7
temperatura_mean,temperatura_mean_lag1
temperatura_mean,temperatura_mean_lag7
