feature,domain,mean_imp,std_imp,median_imp,cv_imp,presence_pct,stability_score,passes_presence,psi_train_val,adjusted_score,excluded_hard_drift,selected_final
precipitacion_sum_lag1,clima_meteo,0.303301,0.038882,0.298865,0.1282,1.0,0.88637,True,0.009010871825584854,0.878454360354222,False,True
dow,calendario,0.169099,0.024371,0.167723,0.1441,1.0,0.874034,True,0.00045409229801927236,0.8736372880362403,False,True
atenciones_vs_week,atenciones,0.237621,0.02462,0.239722,0.1036,1.0,0.906116,True,0.04179080538977847,0.8697677070215487,False,True
no2_mean_delta1,clima_contaminacion,0.249827,0.033553,0.250808,0.1343,1.0,0.881597,True,0.01674146221917907,0.8670807995533028,False,True
dow_sin,calendario,0.129377,0.022794,0.128422,0.1762,1.0,0.850208,True,0.00035789082455472553,0.8499038272184846,False,True
temperatura_mean_delta1,clima_meteo,0.104404,0.015557,0.105252,0.149,1.0,0.870316,True,0.025704541445850396,0.8485055538246793,False,True
pm10_mean_delta1,clima_contaminacion,0.056133,0.007225,0.054616,0.1287,1.0,0.88597,True,0.04446919826470731,0.8482490450383413,False,True
ozono_mean_delta1,clima_contaminacion,0.117649,0.0186,0.115858,0.1581,1.0,0.863485,True,0.04386123350716925,0.8272028621073123,False,True
temperatura_max,clima_meteo,0.332472,0.053374,0.33188,0.1605,1.0,0.861671,True,0.04693498018169713,0.8230415606616331,False,True
no2_min,clima_contaminacion,0.098752,0.017792,0.096896,0.1802,1.0,0.847334,True,0.037559443653053644,0.8166606792346226,False,True
no2_mean_lag7,clima_contaminacion,0.082791,0.012206,0.081944,0.1474,1.0,0.871507,True,0.07325185875584567,0.8120246826409264,False,True
humedad_mean,clima_meteo,0.498349,0.065374,0.48256,0.1312,1.0,0.884032,True,0.09041950859303335,0.810726507581165,False,True
ozono_mean_std7,clima_contaminacion,0.094959,0.016606,0.091175,0.1749,1.0,0.851151,True,0.05537878411258258,0.806488639731082,False,True
pm2_5_mean_lag1,clima_contaminacion,0.098834,0.017806,0.097873,0.1802,1.0,0.847345,True,0.05321586679948698,0.8045311760967981,False,True
atenciones_lag28_norm,atenciones,0.161775,0.023672,0.158418,0.1463,1.0,0.87235,True,0.08663925534865892,0.8027963242687176,False,True
atenciones_std3,atenciones,0.102495,0.020567,0.102784,0.2007,1.0,0.832873,True,0.04160526994240481,0.7996052094149384,False,True
humedad_mean_lag2,clima_meteo,0.318784,0.044876,0.316217,0.1408,1.0,0.876599,True,0.09739224415846297,0.7988018911799595,False,True
pm2_5_mean_lag7,clima_contaminacion,0.035616,0.006915,0.034827,0.1942,1.0,0.837405,True,0.05027799326050034,0.797317477252233,False,True
no2_mean_lag5,clima_contaminacion,0.109539,0.01839,0.10819,0.1679,1.0,0.856252,True,0.07410896785019877,0.7971742398853314,False,True
no2_mean_lag3,clima_contaminacion,0.294716,0.048745,0.287368,0.1654,1.0,0.858076,True,0.07821323760229461,0.7958314460209831,False,True
humedad_mean_std7,clima_meteo,0.149992,0.022934,0.151383,0.1529,1.0,0.867378,True,0.0927482968435645,0.7937582721523766,False,True
atenciones_trend_3_7,atenciones,0.080604,0.015685,0.078961,0.1946,1.0,0.837101,True,0.05688906845003448,0.7920424432316614,False,True
atenciones_trend_7_14,atenciones,0.174727,0.025544,0.178589,0.1462,1.0,0.872455,True,0.10232785884133258,0.7914659808353622,False,True
precipitacion_sum_lag2,clima_meteo,0.041834,0.010747,0.042365,0.2569,1.0,0.795614,True,0.009010871825584854,0.7885088478387852,False,True
precipitacion_sum_ma3,clima_meteo,0.088662,0.021447,0.085837,0.2419,1.0,0.80522,True,0.022210949966807163,0.7877239037853654,False,True
atenciones_lag3_norm,atenciones,0.288588,0.047944,0.279738,0.1661,1.0,0.857536,True,0.09003707034264292,0.7867035198449183,False,True
precipitacion_sum_lag5,clima_meteo,0.047705,0.012568,0.044865,0.2634,1.0,0.791488,True,0.007035965733252237,0.7859580262594639,False,True
no2_mean_lag1,clima_contaminacion,0.116285,0.021247,0.117709,0.1827,1.0,0.845514,True,0.0758957691023545,0.7858698066128027,False,True
month_sin,calendario,0.30117,0.054953,0.289935,0.1825,1.0,0.845692,True,0.07843964102336785,0.7841811148535808,False,True
pm2_5_mean_delta1,clima_contaminacion,0.035446,0.008208,0.036173,0.2316,1.0,0.811981,True,0.037903401655776756,0.7823281036603593,False,False
atenciones_lag14_norm,atenciones,0.087605,0.015114,0.086709,0.1725,1.0,0.852864,True,0.09131834896168506,0.7814988182059266,False,True
pm2_5_mean_lag5,clima_contaminacion,0.072409,0.01624,0.067552,0.2243,1.0,0.816802,True,0.0499189820868539,0.7779666945124634,False,True
precipitacion_sum,clima_meteo,0.032988,0.009188,0.031189,0.2785,1.0,0.782155,True,0.009010871825584854,0.7751700421075358,False,True
atenciones_lag21_norm,atenciones,0.309243,0.049746,0.300285,0.1609,1.0,0.861428,True,0.11631614911996263,0.7716702841565972,False,True
dow_cos,calendario,0.049319,0.014858,0.052779,0.3013,1.0,0.768488,True,0.0004594264164637685,0.7681350984443617,False,True
precipitacion_sum_lag3,clima_meteo,0.037403,0.011069,0.038335,0.296,1.0,0.771634,True,0.00719615144584022,0.7661208781351195,False,True
atenciones_min3_norm,atenciones,0.309983,0.046274,0.307833,0.1493,1.0,0.87011,True,0.13909527704839353,0.7638605984344136,False,True
atenciones_pct_change_7,atenciones,0.144706,0.021863,0.145734,0.1511,1.0,0.868744,True,0.14268740136437363,0.760263917290692,False,True
atenciones_pct_change_14,atenciones,0.131734,0.027798,0.128396,0.211,1.0,0.825755,True,0.08876796079397356,0.7584306571602513,False,True
pm10_min,clima_contaminacion,0.046817,0.010605,0.046863,0.2265,1.0,0.815311,True,0.0758786982922399,0.7578094085273337,False,True
ozono_mean_std14,clima_contaminacion,0.129608,0.023913,0.126535,0.1845,1.0,0.844236,True,0.12527466343185945,0.7502488302946869,False,True
pm2_5_mean_ma3,clima_contaminacion,0.07596,0.01705,0.073671,0.2245,1.0,0.816685,True,0.09053704569115287,0.7488833169187821,False,True
precipitacion_sum_lag7,clima_meteo,0.034221,0.011102,0.032521,0.3244,1.0,0.755054,True,0.00833969704226721,0.7488091584758365,False,True
humedad_std,clima_meteo,0.070482,0.020545,0.066457,0.2915,1.0,0.7743,True,0.0348322625280264,0.7482372052340508,False,True
pm2_5_mean_lag3,clima_contaminacion,0.051731,0.014033,0.048031,0.2713,1.0,0.786618,True,0.05179818031150181,0.7478792174436301,False,True
pm10_mean_lag5,clima_contaminacion,0.047687,0.008788,0.04484,0.1843,1.0,0.844385,True,0.13172102660542714,0.7461070176744128,False,False
pm2_5_min,clima_contaminacion,0.04502,0.011661,0.041415,0.259,1.0,0.794264,True,0.06488322759395332,0.7458695746336403,False,False
precipitacion_max,clima_meteo,0.024602,0.008026,0.023331,0.3262,1.0,0.754021,True,0.012001897287137669,0.7450786426599554,False,True
temperatura_mean_std7,clima_meteo,0.07335,0.013711,0.070393,0.1869,1.0,0.842514,True,0.13120498033644085,0.7447933969928431,False,True
humedad_mean_lag3,clima_meteo,0.252824,0.056073,0.251578,0.2218,1.0,0.818474,True,0.09916116087714563,0.7446351173351563,False,True
pm10_mean_lag7,clima_contaminacion,0.083702,0.01553,0.081671,0.1855,1.0,0.843501,True,0.13442786690655462,0.7435474961489826,False,False
no2_mean,clima_contaminacion,0.065416,0.016301,0.066059,0.2492,1.0,0.800516,True,0.07678074511728096,0.7434345419250687,False,True
temp_range,clima_meteo,0.076573,0.022771,0.075526,0.2974,1.0,0.77079,True,0.04774930091313975,0.7356626239962529,False,True
precipitacion_sum_ma14,clima_meteo,0.095943,0.016737,0.092898,0.1744,1.0,0.851466,True,0.1590748949198534,0.7346082671032886,False,True
temperatura_mean_ma14,clima_meteo,2.28382,0.323978,2.267709,0.1419,1.0,0.875766,True,0.19264758132265292,0.7343040926044311,False,True
atenciones_std7,atenciones,0.116514,0.028826,0.113785,0.2474,1.0,0.801665,True,0.0921800025622488,0.7340044664059935,False,True
atenciones_lag5_norm,atenciones,0.08169,0.022127,0.080494,0.2709,1.0,0.786865,True,0.07245267707635086,0.7337060336732982,False,True
temperatura_min,clima_meteo,0.159866,0.036277,0.15799,0.2269,1.0,0.815049,True,0.11975798058378777,0.7278796080337581,False,True
temperatura_std,clima_meteo,0.085914,0.023871,0.088724,0.2778,1.0,0.782569,True,0.07531459029725823,0.7277581900787451,False,False
pm10_mean,clima_contaminacion,0.091028,0.019868,0.091781,0.2183,1.0,0.820842,True,0.1294776615291152,0.7267447847429966,False,True
no2_std,clima_contaminacion,0.037618,0.008454,0.036578,0.2247,1.0,0.816514,True,0.12544799692543643,0.7255013134597066,False,True
no2_max,clima_contaminacion,0.051123,0.015905,0.048524,0.3111,1.0,0.762714,True,0.05715820152956713,0.7214757440243612,False,False
humedad_mean_lag1,clima_meteo,0.208259,0.056679,0.209855,0.2722,1.0,0.786067,True,0.09146061506684092,0.720197310969266,False,True
