k,mae_val,mae_val_std_seeds,smape_val
3,13.4945,0.0974,42.4924
4,13.2311,0.1007,41.9736
5,13.0117,0.0504,41.4268
6,10.5784,0.1612,33.1604
7,10.5187,0.0605,32.8497
8,10.58,0.1309,33.1303
9,10.6495,0.0407,33.2904
10,10.684,0.1155,33.6999
11,10.1122,0.1331,31.5158
12,9.958,0.06,31.1906
13,10.0315,0.0181,30.724
14,10.001,0.0851,30.7343
15,10.0021,0.0872,30.5283
16,9.9715,0.0667,30.6496
17,9.9865,0.1234,30.6486
18,9.9612,0.0919,30.7353
19,9.9738,0.0692,30.772
20,9.9191,0.0881,30.436
21,9.9224,0.0832,30.5729
22,9.9763,0.0842,30.8723
23,9.7134,0.1256,29.57
24,9.6732,0.0499,29.4993
25,9.659,0.0718,29.4076
26,9.7933,0.0916,29.8769
27,9.7954,0.0569,29.8129
28,9.7167,0.0362,29.5632
29,9.7769,0.185,30.0013
30,9.8517,0.0984,30.1333
31,9.6623,0.0281,29.3717
32,9.6833,0.0695,29.6051
33,9.5204,0.1122,29.2456
34,9.469,0.0896,29.1451
35,9.3819,0.1166,28.9385
36,9.3891,0.1233,28.8313
37,9.3961,0.0648,29.0085
38,9.4064,0.116,29.0199
39,9.3473,0.1395,28.8608
40,9.3057,0.0794,28.4329
41,9.4485,0.1531,28.9966
42,9.0521,0.0742,27.7246
43,9.0842,0.0525,27.7656
44,8.9728,0.1563,27.5632
45,8.979,0.1095,27.5573
46,8.9328,0.1051,27.4227
47,8.8791,0.0951,27.3317
48,8.8768,0.1136,27.3511
49,8.8532,0.0802,27.2386
50,8.947,0.1275,27.5064
51,8.9611,0.1511,27.47
52,8.9446,0.1753,27.4356
53,8.9646,0.1814,27.4404
54,8.8962,0.1118,27.3595
55,8.8056,0.1923,26.8369
56,8.8949,0.0391,27.1664
57,9.0113,0.1553,27.4999
58,8.8855,0.057,26.9584
59,8.8066,0.1161,26.7629
60,8.7981,0.1199,26.7541
61,8.6184,0.0895,26.1305
62,8.7168,0.0434,26.4864
63,8.6899,0.1246,26.3311
64,8.6097,0.0763,26.2632
65,8.7309,0.1207,26.5317
66,8.7303,0.0705,26.5748
67,8.5946,0.1657,26.2063
68,8.3998,0.0408,25.6558
69,8.4834,0.1148,25.8537
70,8.4236,0.0872,25.6782
71,8.2847,0.0929,25.2751
72,8.4177,0.1393,25.9011
73,8.4041,0.0755,25.7729
74,8.3307,0.1078,25.6243
75,8.4032,0.0806,25.8394
76,8.3689,0.0858,25.6746
77,8.4321,0.0276,25.9167
78,8.2311,0.0618,25.4996
79,8.2559,0.0901,25.5175
80,8.3259,0.1002,25.6951
81,7.8916,0.0527,24.7365
82,7.9447,0.0543,24.7555
83,7.9555,0.0575,24.8605
84,7.9532,0.0526,24.7911
85,7.9244,0.0413,24.734
86,7.9459,0.0568,24.6698
87,7.982,0.1569,24.7229
88,7.9839,0.0912,24.7161
89,8.0138,0.0767,24.8427
90,7.9908,0.0946,24.6473
91,7.9426,0.08,24.51
92,7.9809,0.069,24.6559
93,7.9444,0.0641,24.3723
94,7.9015,0.0574,24.44
95,7.9266,0.0519,24.6009
96,7.9474,0.0649,24.4573
97,7.9347,0.0685,24.6018
98,7.9144,0.0681,24.4213
99,8.0019,0.0703,24.7667
100,7.9825,0.1506,24.5547
101,7.92,0.0775,24.3893
102,7.9291,0.1178,24.5107
103,8.0877,0.1429,24.9597
104,8.026,0.0566,24.8319
105,7.9777,0.1349,24.7199
106,8.0226,0.1854,24.9098
107,7.9819,0.1022,24.6854
108,7.9902,0.0788,24.6963
109,7.9489,0.0803,24.822
110,8.0191,0.1648,24.998
111,8.0262,0.0469,24.9364
112,7.9995,0.1323,24.929
113,7.959,0.0571,24.8183
114,8.0415,0.0613,25.0622
115,7.9522,0.091,24.7491
116,8.0142,0.0874,24.9895
117,7.9834,0.1065,24.7552
118,8.0035,0.0868,24.9347
119,8.1036,0.0639,25.1893
120,8.0192,0.0425,24.9326
121,8.0453,0.0549,25.1126
122,8.0104,0.1396,24.8496
123,8.0286,0.1397,24.996
