horizonte,modelo,mae,rmse,mape,smape,r2,bias,n
1,ML,8.4908,10.8378,28.9162,26.4672,0.5603,-3.8282,51
1,Naive_anual,13.1765,17.3114,50.6436,36.6885,-0.1218,1.8039,51
1,Naive_semanal,11.4706,14.1109,41.5233,36.7721,0.2547,-0.5294,51
2,ML,7.6148,9.2452,22.2137,23.1597,0.5239,-3.1442,50
2,Naive_anual,10.32,14.8405,32.4366,29.9714,-0.2266,1.4,50
2,Naive_semanal,9.46,12.0988,27.3266,26.1263,0.1847,-0.18,50
3,ML,6.3628,7.8597,24.378,22.2484,0.6419,-1.509,50
3,Naive_anual,9.34,12.1795,34.1032,29.1114,0.1401,3.34,50
3,Naive_semanal,8.24,10.0558,29.0696,27.596,0.4138,-0.32,50
4,ML,7.0918,8.4976,29.3798,25.0698,0.3876,2.6005,50
4,Naive_anual,9.7,12.4056,38.3799,31.0285,-0.3052,4.58,50
4,Naive_semanal,8.6,10.2587,37.0837,33.4673,0.1075,-0.28,50
5,ML,6.2802,8.0739,24.8425,21.3383,0.4558,2.5334,51
5,Naive_anual,9.3922,13.8557,35.5358,29.3152,-0.6026,4.4902,51
5,Naive_semanal,7.5294,9.3053,29.6638,27.7306,0.2772,-0.2745,51
6,ML,6.9879,8.636,23.8351,22.193,0.5939,-1.4524,51
6,Naive_anual,9.2157,11.6821,33.5563,30.7068,0.2569,-1.6863,51
6,Naive_semanal,9.549,11.4917,32.5037,30.4263,0.281,-0.3725,51
7,ML,6.8865,10.3431,82047159.7719,21.4805,0.5161,-1.8898,49
7,Naive_anual,12.449,16.3607,67346974.4614,37.6623,-0.2108,1.4286,49
7,Naive_semanal,8.1633,11.4553,77551044.3146,26.117,0.4064,0.4082,49
