horizonte,metrica,modelo_ml,naive_semanal,naive_anual,mejora_pct_vs_semanal,mejora_pct_vs_anual
1,bias,-0.0845,-0.162,1.9888,0.0775,1.9043
1,mae,7.4107,8.9441,10.5978,17.14,30.07
1,mape,12321032.3547,10614556.8533,9217914.69,-16.08,-33.66
1,r2,0.4992,0.3143,-0.0956,0.1849,0.5948
1,rmse,9.6449,11.2855,14.2654,14.54,32.39
1,smape,23.9159,29.7589,32.633,19.63,26.71
2,bias,-0.2197,-0.1092,2.028,-0.1105,1.8083
2,mae,7.6406,8.9104,10.577,14.25,27.76
2,mape,11160941.7251,12044849.5117,8683510.9411,7.34,-28.53
2,r2,0.496,0.3155,-0.0932,0.1805,0.5892
2,rmse,9.689,11.2915,14.2695,14.19,32.1
2,smape,24.7232,29.5959,32.5176,16.46,23.97
3,bias,-0.2969,-0.0955,2.1067,-0.2014,1.8098
3,mae,7.3867,8.9157,10.6236,17.15,30.47
3,mape,11362781.2688,12078683.2317,8707902.8513,5.93,-30.49
3,r2,0.5221,0.315,-0.0992,0.2071,0.6213
3,rmse,9.4397,11.3015,14.3161,16.47,34.06
3,smape,24.1128,29.5759,32.5766,18.47,25.98
4,bias,0.0743,-0.0535,2.1211,-0.0208,2.0468
4,mae,7.2793,8.9042,10.6451,18.25,31.62
4,mape,12074659.7241,12112707.5806,8732432.0798,0.31,-38.27
4,r2,0.5357,0.3177,-0.0999,0.218,0.6356
4,rmse,9.3164,11.2941,14.3396,17.51,35.03
4,smape,23.4971,29.5138,32.568,20.39,27.85
5,bias,0.3972,-0.1638,2.1102,-0.2334,1.713
5,mae,7.1673,9.0226,10.6921,20.56,32.97
5,mape,10882467.8396,12146924.4095,8757099.9541,10.41,-24.27
5,r2,0.5471,0.2947,-0.1057,0.2524,0.6528
5,rmse,9.2044,11.4862,14.3815,19.87,36.0
5,smape,23.3101,29.8377,32.6514,21.88,28.61
6,bias,-0.0824,-0.221,2.0453,0.1386,1.9629
6,mae,7.5564,8.9915,10.6516,15.96,29.06
6,mape,10579617.3032,12181334.5244,8781907.3148,13.15,-20.47
6,r2,0.498,0.2968,-0.1048,0.2012,0.6028
6,rmse,9.6772,11.4531,14.3563,15.51,32.59
6,smape,24.4689,29.6812,32.5251,17.56,24.77
7,bias,0.9685,-0.1989,2.0909,-0.7696,1.1224
7,mae,7.7366,8.9659,10.6477,13.71,27.34
7,mape,11487136.9224,12215940.4446,8806855.7684,5.97,-30.43
7,r2,0.4695,0.3027,-0.1055,0.1668,0.575
7,rmse,9.9487,11.4062,14.3622,12.78,30.73
7,smape,24.7677,29.5979,32.4311,16.32,23.63
